fips_code,CI90LB017P_2023,CI90LB017_2023,CI90LB04P_2023,CI90LB04_2023,CI90LB517P_2023,CI90LB517_2023,CI90LBALLP_2023,CI90LBALL_2023,CI90LBINC_2023,CI90UB017P_2023,CI90UB017_2023,CI90UB04P_2023,CI90UB04_2023,CI90UB517P_2023,CI90UB517_2023,CI90UBALLP_2023,CI90UBALL_2023,CI90UBINC_2023,MEDHHINC_2023,PCTPOV017_2023,PCTPOV04_2023,PCTPOV517_2023,PCTPOVALL_2023,POV017_2023,POV04_2023,POV517_2023,POVALL_2023,Rural_Urban_Continuum_Code_2023
12035,10,2064,,,9.1,1446,7.2,9360,68486,19.2,3948,,,18.3,2898,10.6,13836,81020,74753,14.6,,13.7,8.9,3006,,2172,11598,2
12037,18.3,337,,,16.6,228,12.6,1430,48938,36.5,673,,,34.8,478,20.6,2350,62694,55816,27.4,,25.7,16.6,505,,353,1890,8
12039,21.4,2028,,,20.2,1432,17.8,7556,46765,39,3706,,,38.2,2716,25.2,10742,55811,51288,30.2,,29.2,21.5,2867,,2074,9149,2
12041,13,534,,,12.5,376,10.4,1937,49780,25.4,1042,,,25.5,772,16.6,3069,63988,56884,19.2,,19,13.5,788,,574,2503,2
12043,15.9,258,,,14.5,183,12.7,1412,48070,30.7,498,,,29.7,373,21.1,2346,62410,55240,23.3,,22.1,16.9,378,,278,1879,8
12045,14.9,375,,,14.2,277,11.3,1563,61921,29.3,735,,,28.8,561,18.5,2567,71691,66806,22.1,,21.5,14.9,555,,419,2065,8
12047,21.8,597,,,21.6,419,16.6,1972,43667,42.6,1169,,,44,853,27.2,3234,54853,49260,32.2,,32.8,21.9,883,,636,2603,8
12049,16.1,1019,,,15.9,737,15.8,3770,48072,30.9,1963,,,31.3,1455,25.2,6034,59754,53913,23.5,,23.6,20.5,1491,,1096,4902,6
12051,18.6,1983,,,18.5,1449,18.5,7904,48596,33,3525,,,33.5,2627,25.7,10986,60642,54619,25.8,,26,22.1,2754,,2038,9445,4
12053,11.3,4373,,,10.2,3017,10.1,21194,61519,20.1,7797,,,19,5655,14.1,29548,66665,64092,15.7,,14.6,12.1,6085,,4336,25371,1
12055,20.9,3667,,,20.6,2741,16,17049,47690,33.9,5935,,,33.6,4461,21.2,22543,55300,51495,27.4,,27.1,18.6,4801,,3601,19796,3
12057,12.1,39243,,,11.5,27592,12.2,184134,74402,17.3,55783,,,17.1,40766,14.2,213334,78654,76528,14.7,,14.3,13.2,47513,,34179,198734,1
12059,18.5,739,,,17.9,522,13.6,2491,45958,36.1,1447,,,36.5,1068,22.8,4157,57206,51582,27.3,,27.2,18.2,1093,,795,3324,8
12061,12.9,3192,,,10.3,1904,9.7,16321,69970,21.5,5340,,,19.1,3538,12.9,21777,77402,73686,17.2,,14.7,11.3,4266,,2721,19049,3
12063,19.9,1804,,,18.5,1228,17.1,7144,45563,33.5,3048,,,32.9,2192,24.1,10092,56283,50923,26.7,,25.7,20.6,2426,,1710,8618,6
12065,37.7,980,,,18.1,352,20.4,2888,52518,48.9,1270,,,32.9,638,26.6,3778,67416,59967,43.3,,25.5,23.5,1125,,495,3333,2
12067,17.7,275,,,15.3,180,14.5,1032,51391,34.1,529,,,31.5,370,23.3,1656,64801,58096,25.9,,23.4,18.9,402,,275,1344,9
12069,9.3,7364,,,9,5367,9.4,39517,67805,16.5,13090,,,16.6,9857,12,50013,73763,70784,12.9,,12.8,10.7,10227,,7612,44765,1
12071,14.4,20074,,,13.2,13578,11,90370,69745,20.2,28172,,,19.2,19744,13.2,108640,73877,71811,17.3,,16.2,12.1,24123,,16661,99505,2
12073,14.3,7678,,,13.2,5254,15.8,44086,62514,23.3,12478,,,22.6,8960,19.4,54416,69612,66063,18.8,,17.9,17.6,10078,,7107,49251,2
12075,17.2,1515,,,15.8,1063,15.1,6981,50636,32.4,2867,,,31.4,2105,21.5,9901,55792,53214,24.8,,23.6,18.3,2191,,1584,8441,2
12077,18,237,,,17.9,173,15.9,987,45232,34,449,,,35.3,339,25.7,1597,57814,51523,26,,26.6,20.8,343,,256,1292,8
12079,18.6,629,,,18.3,452,15.2,2586,47536,36.4,1231,,,37.3,924,24.4,4156,57890,52713,27.5,,27.8,19.8,930,,688,3371,8
12081,10,7476,,,9.4,5199,9.3,40489,76523,16.2,12060,,,16,8921,11.5,50331,81903,79213,13.1,,12.7,10.4,9768,,7060,45410,2
12083,20.9,15742,,,18.5,10440,13.5,54028,55835,28.3,21272,,,26.5,14898,16.5,66222,61333,58584,24.6,,22.5,15,18507,,12669,60125,2
12085,13.8,3514,,,12.1,2345,11.7,18549,71696,20.2,5162,,,19.1,3685,14.5,23063,81164,76430,17,,15.6,13.1,4338,,3015,20806,2
12086,15,78524,,,14.2,54093,13.3,350036,70790,19.2,100850,,,18.8,71961,14.9,395004,73270,72030,17.1,,16.5,14.1,89687,,63027,372520,1
12087,9.8,1196,,,9.7,860,7.9,6315,78363,18.8,2310,,,19.5,1728,12.1,9669,92915,85639,14.3,,14.6,10,1753,,1294,7992,4
12089,10.3,1989,,,8.6,1261,8.1,8098,83794,15.9,3047,,,14.4,2095,10.9,10950,101738,92766,13.1,,11.5,9.5,2518,,1678,9524,1
12091,10.4,5006,,,9.1,3212,8.5,18108,78741,16.8,8084,,,15.7,5550,11.7,24926,85239,81990,13.6,,12.4,10.1,6545,,4381,21517,2
12093,17.2,1486,,,16.5,1005,13.4,5255,48179,31.6,2726,,,31.9,1939,20.6,8043,60415,54297,24.4,,24.2,17,2106,,1472,6649,4
12095,12.6,38378,,,11.9,26934,11.4,163512,76119,17.8,54418,,,17.7,40106,13.4,191940,80855,78487,15.2,,14.8,12.4,46398,,33520,177726,1
12097,10.3,10498,,,10.1,7813,9.2,39893,73354,18.1,18464,,,18.3,14103,12.6,55007,79478,76416,14.2,,14.2,10.9,14481,,10958,47450,1
12099,12,33637,,,10.6,22144,9.8,148066,82302,17.2,48385,,,16,33326,11.8,178648,87276,84789,14.6,,13.3,10.8,41011,,27735,163357,1
12101,9.3,11697,,,8.5,8163,9.2,57561,69649,15.3,19357,,,14.9,14207,11.8,73451,74481,72065,12.3,,11.7,10.5,15527,,11185,65506,1
12103,12.1,17273,,,11.9,12650,10.2,96046,69047,18.5,26499,,,18.5,19684,12.4,117410,72321,70684,15.3,,15.2,11.3,21886,,16167,106728,1
12105,14.6,25636,,,14.5,19027,11.5,91735,64912,21.6,38176,,,21.9,28669,14.5,115511,68506,66709,18.1,,18.2,13,31906,,23848,103623,2
12107,20.7,3238,,,19.6,2278,17.7,13223,48329,35.3,5528,,,36,4180,24.5,18275,54841,51585,28,,27.8,21.1,4383,,3229,15749,4
12109,4,2769,,,3.8,2020,5.2,16378,100900,7.6,5135,,,7.2,3892,7,22112,111662,106281,5.8,,5.5,6.1,3952,,2956,19245,1
12111,7.9,5698,,,7,3788,8.6,31906,63951,16.5,11892,,,15.8,8520,12.2,45172,69801,66876,12.2,,11.4,10.4,8795,,6154,38539,2
12113,5.5,2425,,,4.9,1639,6.4,12636,84800,11.7,5101,,,11.3,3759,9.8,19326,90362,87581,8.6,,8.1,8.1,3763,,2699,15981,2
12115,10,6402,,,9,4402,8.3,38109,74166,16.8,10736,,,16,7838,10.7,49527,82270,78218,13.4,,12.5,9.5,8569,,6120,43818,2
12117,8.1,7834,,,7.2,5335,7.9,38041,76516,13.1,12764,,,12.6,9311,10.5,50147,84880,80698,10.6,,9.9,9.2,10299,,7323,44094,1
12119,19.3,2056,,,14.4,1131,8.1,11532,72497,31.1,3316,,,28.4,2223,11.3,16122,86171,79334,25.2,,21.4,9.7,2686,,1677,13827,3
12121,16.8,1564,,,15.9,1107,13.5,5842,50826,32.6,3044,,,32.3,2243,21.1,9160,61192,56009,24.7,,24.1,17.3,2304,,1675,7501,6
12123,17.2,766,,,15.8,520,15.5,3091,44021,33.4,1492,,,33,1080,23.9,4777,57091,50556,25.3,,24.4,19.7,1129,,800,3934,6
12125,14.5,487,,,12.3,315,15,1739,54473,26.5,895,,,24.5,631,23.8,2763,67213,60843,20.5,,18.4,19.4,691,,473,2251,8
12127,16,16099,,,14.4,10803,10.6,61309,63701,22.6,22633,,,22,16421,13.2,75705,68521,66111,19.3,,18.2,11.9,19366,,13612,68507,2
12129,9.7,721,,,8.9,502,7.9,2654,65957,18.7,1397,,,18.3,1026,12.9,4348,79875,72916,14.2,,13.6,10.4,1059,,764,3501,2
12131,10,1746,,,9.3,1213,9.1,7649,74238,17.8,3128,,,17.5,2275,12.7,10603,90280,82259,13.9,,13.4,10.9,2437,,1744,9126,2
12133,17.2,871,,,16.7,628,13,3056,48752,32.2,1633,,,32.1,1204,20.6,4836,60604,54678,24.7,,24.4,16.8,1252,,916,3946,3
13000,18.1,452784,18.8,116194,17.2,321803,13.4,1447988,73701,19.5,486576,21,130228,18.8,351271,14,1506720,75341,74521,18.8,19.9,18,13.7,469680,123211,336537,1477354,
13001,25.7,1139,,,25.4,853,17.2,3100,45107,41.3,1827,,,41,1373,25,4522,57001,51054,33.5,,33.2,21.1,1483,,1113,3811,7
13003,23.6,483,,,22.6,328,17.3,1426,40355,45,919,,,44.8,648,27.5,2274,49425,44890,34.3,,33.7,22.4,701,,488,1850,9
13005,22.2,612,,,21.1,431,18.2,1947,42747,40,1098,,,38.5,785,27.6,2945,55083,48915,31.1,,29.8,22.9,855,,608,2446,9
13007,26.5,130,,,26.2,95,20.4,559,41549,51.7,254,,,53.4,195,32,875,54151,47850,39.1,,39.8,26.2,192,,145,717,8
13009,20.4,1603,,,18.2,1072,17.1,6579,44861,38,2991,,,36,2128,25.7,9883,57551,51206,29.2,,27.1,21.4,2297,,1600,8231,4
13011,11.5,479,,,10.6,320,9.5,1867,61978,21.7,907,,,21.4,644,14.9,2933,78156,70067,16.6,,16,12.2,693,,482,2400,8
13013,12,2738,,,11.1,1855,9.5,8748,64911,19,4314,,,18.3,3071,12.9,11954,79239,72075,15.5,,14.7,11.2,3526,,2463,10351,1
13015,8.7,2240,,,8.5,1639,7.6,8607,73834,18.1,4704,,,18.3,3513,11.8,13401,83708,78771,13.4,,13.4,9.7,3472,,2576,11004,1
13017,25.4,1049,,,24.6,761,19.5,3274,36345,45,1859,,,44,1359,29.3,4918,44305,40325,35.2,,34.3,24.4,1454,,1060,4096,7
13019,20.1,854,,,18.9,594,14.8,2720,44222,35.7,1514,,,35.3,1108,22.8,4196,56940,50581,27.9,,27.1,18.8,1184,,851,3458,8
13021,25.8,9698,,,25,6900,19.2,29133,47415,38.2,14326,,,38.2,10530,25,37897,55723,51569,32,,31.6,22.1,12012,,8715,33515,3
